S1 S2 S3 S4 S5 S6 S7 S8 S9 S10 S11 S12 S13 S14 S15 S16 S17 S18 S19 S20
1321 3529 1124 935 1042 5159 3529 4504 1784 2742 1942 5605 3985 7246 2438 2966 2044 1617 8008 4378
340 2169 843 509 776 1394 1689 3717 1333 2616 809 3263 4222 3456 1397 1895 944 1558 2866 2761
816 2313 653 819 541 2819 2201 2184 1799 4038 1110 2472 3389 3365 2441 2127 544 1401 3752 1682
526 1637 750 753 1084 1809 1390 2326 770 1276 1104 3362 1730 4060 754 1663 1087 1320 1708 986
2894 6484 4465 3731 4531 6213 11660 5829 4971 7055 7756 10327 8502 12132 4847 2870 4852 3720 13473 6391
1105 2616 833 1061 650 2119 2538 2709 1092 2672 1955 5054 2393 2773 1101 2331 1584 504 5186 3695
1823 6441 1874 3497 3121 6253 3822 6709 1947 8204 2452 7869 13983 8035 4184 3645 3805 3476 7739 4206
2542 10583 3809 3968 6761 11388 11409 13271 1865 10345 6866 12698 15227 9341 8607 7220 6037 3729 12243 10409
1072 1187 729 946 393 1429 699 936 898 3034 1252 2502 1496 2151 1097 1561 1863 1515 2022 988
935 2932 1572 1091 912 2683 1194 2583 619 3668 1353 2893 1873 3164 1349 1742 1087 1207 2122 3308
1595 5605 1056 1691 921 5229 3625 8127 1287 6777 2262 7220 5331 3155 2710 5913 1634 4236 5316 8355
2023 8274 2222 2444 2338 2482 2876 8099 1822 6911 4838 9855 4970 9383 3350 3235 2469 3336 11849 4599
793 1973 1189 995 1109 1736 1963 1756 655 1899 2207 2805 2028 4264 1509 1247 1340 1250 2307 2256
336 1276 252 366 240 766 731 1138 251 1549 994 1197 1326 2076 666 640 375 386 1119 775
319 177 123 243 207 471 479 640 143 429 404 777 558 943 247 618 292 342 625 614
2490 2968 3182 1579 3643 5041 4260 7515 2022 2371 4482 4533 5457 7866 4954 3809 3564 2130 10014 3719
494 1955 1156 693 665 1539 1865 1808 789 1913 941 3044 3657 4652 1778 1513 1499 634 3417 1655
1200 4979 1614 1433 804 6531 4597 3711 1672 6371 3767 5071 5311 6020 3439 2158 1623 1417 3338 4306
308 1433 362 350 425 650 1011 1571 315 1170 604 873 903 1168 796 695 350 417 1310 847
1156 3417 1774 1424 1284 2432 2807 5121 1937 2968 1605 2476 4952 3396 1246 3752 1174 1947 2848 3876
620 711 460 358 472 938 673 594 205 547 625 1301 1016 1757 709 529 562 435 743 993
3403 3902 2343 2669 3169 7492 6497 3767 2341 6810 4423 14128 16773 10001 7261 4813 4678 3810 8340 5989
77 271 122 134 121 347 200 323 104 303 295 311 312 776 80 255 160 154 555 345
277 869 518 393 588 1025 2051 1310 537 765 1048 853 2558 1915 880 788 471 689 2779 754
1442 7276 4723 2292 4109 9392 3197 12048 3593 9115 8630 11369 26413 15246 8765 6609 4588 5870 17588 3568
711 1512 635 468 668 2459 1193 1240 639 1401 804 1203 2925 2584 731 978 997 603 2333 2404
713 1465 1567 920 662 2182 1127 2190 659 1245 1668 3162 3368 2933 1371 1644 1256 1432 3262 1928
148 1160 433 500 280 473 493 961 239 1116 1444 3178 3602 5660 1878 2524 1623 1635 3493 2746
569 3906 1538 1183 994 3617 3885 3868 1361 7244 2872 7551 8361 6939 1621 2872 1892 1160 6865 5077
1362 2936 1100 1485 2361 2066 2457 3963 975 3694 1710 5609 3825 5684 1953 1573 1024 1898 3345 3703
2415 5870 2923 3169 3347 8171 5149 6372 5562 8663 2482 4585 7091 5785 4040 5264 4280 4317 14005 7790
1804 3418 5345 3258 2043 6761 6692 9592 1752 6299 2921 5324 8150 7273 3917 6681 2573 4750 5701 5195
855 3225 1394 2018 2668 2740 4048 5946 1946 4375 1909 6811 2012 6133 2493 4386 1609 1282 4927 6115
2786 5879 2753 1775 2118 4949 8566 5314 3125 5502 6505 10763 11381 12596 2881 2684 2834 4906 13817 8010
1899 4319 1411 976 1148 6526 4535 5736 2379 7021 3001 9747 8082 3283 3233 3999 2668 2538 5176 5201
564 3757 977 963 1152 2786 2088 3533 1059 3064 4576 4730 10816 19094 3899 9715 6045 4028 6308 12557
911 2398 1135 1340 1693 1720 1998 3617 557 3837 2422 6629 4923 3427 1816 2845 898 1180 5025 4289
1167 6361 2278 1741 2284 8076 5137 6156 2746 7350 2957 9447 7368 8392 3114 2011 1266 1489 4116 4079
301 408 505 274 171 660 650 733 206 671 381 915 504 2246 505 541 443 566 768 728
1023 2582 2397 2227 3442 6891 3757 4404 867 3588 1474 5067 6819 9095 5315 4277 3614 2579 4592 2564
920 2915 1851 1025 858 2195 1919 4711 1035 3492 5985 10778 9870 11423 2960 8205 3779 3043 9196 6758
294 1167 452 482 436 796 1170 1375 273 1377 1125 423 2301 651 925 697 668 921 1178 847
1499 6890 2483 2389 1825 10383 5200 9661 2239 11453 5229 12770 4940 12149 3578 7014 2110 2690 7183 7896
3032 1605 2010 1755 1375 6529 3321 4175 1305 9285 3838 3581 7221 8186 3319 3426 2643 3118 3459 5575
1414 2261 1408 581 897 1817 2473 2983 713 5081 1787 8808 3875 5404 1988 1605 967 2597 3357 2949
2762 2131 2439 2332 1801 9469 7685 9526 3926 8315 3015 9571 7914 10209 3611 5136 5756 3262 11587 5639
1180 5307 2824 2108 1101 5100 5175 5067 2321 7610 3777 9630 6299 10216 5302 4986 2413 4090 6324 9407
511 1281 589 527 783 1596 1039 1264 1147 2460 489 2670 2195 1756 1415 565 961 1285 2175 2189
519 1157 391 335 171 910 1335 809 236 1255 645 568 665 1445 692 967 327 410 1562 1422
77 220 85 52 117 199 180 209 76 255 89 264 172 158 161 196 62 89 189 272
652 5221 2244 4418 2067 8029 5176 8203 2500 7427 2576 8393 7262 14773 5787 4826 3574 4925 6151 9759
855 1579 1077 882 980 1623 1362 1973 292 1092 1341 3036 2575 2581 2239 684 2162 1297 1969 2901
431 1005 602 708 341 912 1014 681 292 1264 255 953 1539 2378 1374 737 607 814 688 1505
579 1669 589 579 1183 1080 967 1705 561 1255 914 2079 1712 2828 893 1695 1000 907 2075 1797
39 125 108 113 161 174 238 294 169 255 163 336 231 632 216 193 63 381 459 173
515 1386 529 763 1096 2663 1920 1620 957 1964 1516 5316 3252 3194 1635 2088 1512 1478 2865 2641
2179 5204 1727 1943 2960 2714 1877 6341 1527 5872 2784 5527 5201 8543 2921 3199 2862 2913 5084 6935
1237 2176 1018 1373 971 4821 3900 4000 760 3637 2405 3974 6923 5058 1842 1373 2142 1604 6141 5150
2472 6798 5187 2257 1467 9524 5158 6779 3566 4830 8870 9092 12021 9864 4172 7818 1874 5463 7736 11791
1089 2630 1159 595 711 2576 2460 3864 848 2517 1139 2625 3398 4753 1569 1561 1542 961 5291 2540
2719 5272 4439 1405 3781 8585 7847 5458 4197 3158 5005 15195 7662 6596 4541 10781 3155 4059 8688 7737
981 3774 1838 2155 2551 4297 3412 5888 2424 3077 2610 7304 3135 6848 4117 5634 3093 2818 6307 4431
898 1694 1056 1157 1003 1748 1619 4669 914 2423 2263 3096 1907 4189 1180 1522 1790 852 2870 2552
1222 2479 1394 1028 1077 2513 1898 4168 1136 2595 1047 3822 2806 3916 1605 1989 2364 1539 1169 3257
2022 4599 4021 3024 4632 10482 9959 7838 4600 6435 5131 10150 12250 9783 4331 7262 2659 4191 10308 11506
2791 5266 3164 1722 1729 8324 6746 8361 4000 2998 3053 9771 6571 9993 5001 7082 5590 4850 7540 6273
53 101 108 75 94 307 199 236 72 304 205 269 358 257 185 175 272 163 332 296
287 968 432 297 298 526 564 1279 421 944 853 2174 1596 1392 603 1080 550 355 1348 572
