S1 S2 S3 S4 S5 S6 S7 S8 S9 S10 S11 S12 S13 S14 S15 S16 S17 S18 S19 S20 S21 S22 S23 S24 S25
4962 5164 4173 3326 4336 7598 3127 4806 3001 3230 4168 3682 5138 2806 3630 3116 6659 3517 4381 4792 935 2427 2556 1746 3238
2592 2475 2052 2406 4063 5062 1149 2685 3702 4554 2993 3913 2274 5302 4615 4551 2454 2887 3143 2868 3782 3285 3031 3094 3357
2941 1995 2345 2591 3546 1840 2499 1271 2046 2924 1926 2690 3452 1819 2612 1144 2931 1936 963 2023 1173 1074 1204 2246 1052
9414 7162 3700 8038 5618 11245 4547 9562 6980 8324 8276 8110 5963 12071 11910 8954 7578 9510 4904 7375 1865 4011 5724 5266 4648
3478 7968 2225 6423 4213 2967 2306 3124 5605 3900 3538 4831 5209 3671 3849 3431 1824 2298 7229 5392 5132 6984 8107 6076 9591
4743 2648 4656 2586 2202 3932 1612 1428 2004 3660 2111 2702 2356 4004 3006 1873 4666 3682 3640 2014 616 645 503 493 869
3051 3623 5101 4596 7167 4842 3799 4623 4668 3705 5019 1902 3193 3754 3097 2981 4627 6795 2709 3937 8371 22238 12229 8743 12271
1045 438 764 562 718 847 727 969 910 699 982 857 669 747 706 646 760 606 1005 779 1338 1820 1705 2361 1834
3319 3607 2127 4693 2044 5052 3708 3171 4365 2873 5468 3945 4570 2169 4718 2112 3798 3511 2551 4490 946 1070 2150 1484 1335
1449 1609 1113 1253 1093 1748 1665 964 1203 1106 851 711 2280 747 990 2193 1974 1187 1105 1227 872 463 1223 1123 546
2315 2325 1942 2848 2308 2223 1627 1513 3395 2206 2522 2009 2787 1913 4089 1129 2412 2343 2112 2304 2023 3031 1890 1336 1008
4638 5383 6519 4701 5328 7666 6783 12482 5576 8560 8600 9434 6146 4274 3750 9065 7121 8291 10619 7354 806 512 508 271 266
1193 1110 1144 2335 1594 1122 974 1065 1101 1305 758 617 1013 1832 1412 2175 1864 1224 1434 1060 1484 1268 1967 596 1272
