,cell,cell_ontology_class,mouse.id
A11_B000795,A11_B000795,"CD8-positive, alpha-beta T cell",18_47_F
A12_B000795,A12_B000795,macrophage,18_47_F
A13_B000795,A13_B000795,"CD8-positive, alpha-beta T cell",18_47_F
A14_B000795,A14_B000795,"CD8-positive, alpha-beta T cell",18_47_F
A15_B000795,A15_B000795,"CD8-positive, alpha-beta T cell",18_47_F
A16_B000795,A16_B000795,"CD4-positive, alpha-beta T cell",18_47_F
A6_B000795,A6_B000795,B cell,18_47_F
A8_B000795,A8_B000795,mesenchymal stem cell of adipose,18_47_F
A9_B000795,A9_B000795,"CD8-positive, alpha-beta T cell",18_47_F
B10_B000795,B10_B000795,"CD8-positive, alpha-beta T cell",18_47_F
B11_B000795,B11_B000795,B cell,18_47_F
B12_B000795,B12_B000795,B cell,18_47_F
B13_B000795,B13_B000795,"CD8-positive, alpha-beta T cell",18_47_F
B15_B000795,B15_B000795,"CD8-positive, alpha-beta T cell",18_47_F
B16_B000795,B16_B000795,"CD8-positive, alpha-beta T cell",18_47_F
B22_B000795,B22_B000795,endothelial cell,18_47_F
B5_B000795,B5_B000795,mesenchymal stem cell of adipose,18_47_F
B9_B000795,B9_B000795,"CD8-positive, alpha-beta T cell",18_47_F
C10_B000795,C10_B000795,"CD8-positive, alpha-beta T cell",18_47_F
C11_B000795,C11_B000795,"CD8-positive, alpha-beta T cell",18_47_F
C12_B000795,C12_B000795,macrophage,18_47_F
C13_B000795,C13_B000795,"CD8-positive, alpha-beta T cell",18_47_F
C14_B000795,C14_B000795,"CD8-positive, alpha-beta T cell",18_47_F
C15_B000795,C15_B000795,B cell,18_47_F
C16_B000795,C16_B000795,B cell,18_47_F
C20_B000795,C20_B000795,endothelial cell,18_47_F
C21_B000795,C21_B000795,myeloid cell,18_47_F
C4_B000795,C4_B000795,macrophage,18_47_F
C9_B000795,C9_B000795,B cell,18_47_F
D10_B000795,D10_B000795,B cell,18_47_F
D11_B000795,D11_B000795,B cell,18_47_F
D12_B000795,D12_B000795,macrophage,18_47_F
D13_B000795,D13_B000795,B cell,18_47_F
D14_B000795,D14_B000795,"CD4-positive, alpha-beta T cell",18_47_F
D15_B000795,D15_B000795,B cell,18_47_F
D16_B000795,D16_B000795,"CD8-positive, alpha-beta T cell",18_47_F
D5_B000795,D5_B000795,mesenchymal stem cell of adipose,18_47_F
D7_B000795,D7_B000795,"CD4-positive, alpha-beta T cell",18_47_F
D9_B000795,D9_B000795,B cell,18_47_F
E10_B000795,E10_B000795,"CD8-positive, alpha-beta T cell",18_47_F
E11_B000795,E11_B000795,B cell,18_47_F
E12_B000795,E12_B000795,B cell,18_47_F
E13_B000795,E13_B000795,B cell,18_47_F
E14_B000795,E14_B000795,"CD8-positive, alpha-beta T cell",18_47_F
E15_B000795,E15_B000795,"CD8-positive, alpha-beta T cell",18_47_F
E16_B000795,E16_B000795,B cell,18_47_F
E3_B000795,E3_B000795,"CD4-positive, alpha-beta T cell",18_47_F
E8_B000795,E8_B000795,macrophage,18_47_F
