cell,cell_ontology_class,tissue
O20.MAA000935.3_8_M.1.1,astrocyte,Brain_Non-Myeloid
O1.MAA000932.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
G17.MAA000581.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
N14.MAA000928.3_9_M.1.1,neuron,Brain_Non-Myeloid
G1.B003290.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
P9.MAA001894.3_39_F.1.1,astrocyte,Brain_Non-Myeloid
N1.MAA000932.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
H9.MAA000944.3_9_M.1.1,astrocyte,Brain_Non-Myeloid
C17.MAA000944.3_9_M.1.1,astrocyte,Brain_Non-Myeloid
B7.MAA000560.3_10_M.1.1,astrocyte,Brain_Non-Myeloid
P4.MAA000581.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
P11.MAA000564.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
F7.MAA000932.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
K7.MAA000947.3_9_M.1.1,neuron,Brain_Non-Myeloid
B10.MAA000553.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
C22.MAA001894.3_39_F.1.1,astrocyte,Brain_Non-Myeloid
N18.MAA000560.3_10_M.1.1,astrocyte,Brain_Non-Myeloid
K12.MAA000926.3_9_M.1.1,neuron,Brain_Non-Myeloid
H20.B003290.3_38_F.1.1,neuron,Brain_Non-Myeloid
C2.B003290.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
P3.MAA000940.3_8_M.1.1,neuron,Brain_Non-Myeloid
H16.MAA000564.3_10_M.1.1,neuron,Brain_Non-Myeloid
F6.B003290.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
M11.MAA001854.3_38_F.1.1,neuron,Brain_Non-Myeloid
M19.MAA000581.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
F9.MAA000932.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
K14.MAA000942.3_8_M.1.1,endothelial cell,Brain_Non-Myeloid
M14.MAA001894.3_39_F.1.1,astrocyte,Brain_Non-Myeloid
A14.MAA001845.3_39_F.1.1,endothelial cell,Brain_Non-Myeloid
L22.MAA000941.3_8_M.1.1,endothelial cell,Brain_Non-Myeloid
E15.MAA000941.3_8_M.1.1,astrocyte,Brain_Non-Myeloid
B22.B003290.3_38_F.1.1,neuron,Brain_Non-Myeloid
D18.MAA000581.3_10_M.1.1,neuron,Brain_Non-Myeloid
A2.B003290.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
B8.MAA001894.3_39_F.1.1,astrocyte,Brain_Non-Myeloid
M21.MAA000561.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
K20.MAA000923.3_9_M.1.1,endothelial cell,Brain_Non-Myeloid
M17.MAA000581.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
M1.MAA000932.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
D7.MAA000638.3_9_M.1.1,neuron,Brain_Non-Myeloid
A15.B003290.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
N20.MAA001894.3_39_F.1.1,astrocyte,Brain_Non-Myeloid
A17.MAA001895.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
C22.MAA000553.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
O1.MAA000926.3_9_M.1.1,astrocyte,Brain_Non-Myeloid
E1.MAA000560.3_10_M.1.1,astrocyte,Brain_Non-Myeloid
C15.B003290.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
H18.MAA000926.3_9_M.1.1,endothelial cell,Brain_Non-Myeloid
I9.MAA000935.3_8_M.1.1,astrocyte,Brain_Non-Myeloid
O9.MAA000932.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
E8.MAA000560.3_10_M.1.1,astrocyte,Brain_Non-Myeloid
N9.MAA000926.3_9_M.1.1,astrocyte,Brain_Non-Myeloid
D10.MAA000615.3_10_M.1.1,astrocyte,Brain_Non-Myeloid
P5.MAA001894.3_39_F.1.1,astrocyte,Brain_Non-Myeloid
B19.MAA000560.3_10_M.1.1,astrocyte,Brain_Non-Myeloid
K3.MAA000932.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
K13.MAA000615.3_10_M.1.1,neuron,Brain_Non-Myeloid
A10.MAA000932.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
K17.MAA000424.3_11_M.1.1,neuron,Brain_Non-Myeloid
B10.B003275.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
O13.MAA000581.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
K8.MAA000932.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
E11.MAA001894.3_39_F.1.1,astrocyte,Brain_Non-Myeloid
P5.MAA000932.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
P3.MAA000564.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
O17.MAA000942.3_8_M.1.1,neuron,Brain_Non-Myeloid
D11.B003275.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
G17.MAA001853.3_38_F.1.1,neuron,Brain_Non-Myeloid
P22.MAA000926.3_9_M.1.1,astrocyte,Brain_Non-Myeloid
D18.MAA001895.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
P15.MAA000926.3_9_M.1.1,endothelial cell,Brain_Non-Myeloid
